country,no_researchers_2005,no_technicians_2005,no_journals_2011,rd_expenditures_percent_gdp_2005,rd_expenditures_in_mdollars_2013,percent_of_manufactured_export_2013,ip_receipts_mdollar_2013,ip_payments_mdollar_2013,total_patent_resident_2013,total_patent_nonresident_2013,total_trademark_2013
Afghanistan,..,..,8,..,..,..,0,6,..,..,..
Albania,148,38,27,0.15,6,0.5,1,23,3,4,"3,308"
Algeria,165,33,599,0.07,3,0.2,1,162,118,722,"3,717"
American Samoa,101,..,..,..,..,..,..,..,..,..,..
Andorra,..,..,1,..,..,..,..,..,..,..,620
Angola,57,43,6,..,..,..,..,2,..,..,..
Antigua and Barbuda,..,..,0,..,0,0,..,1,..,7,720
Argentina,"1,236",258,"3,863",0.65,"2,434",9.8,163,"2,299",643,"4,129","87,921"
Armenia,..,..,185,0.27,9,2.9,..,..,125,6,"4,831"
Aruba,..,..,..,..,2,10.2,0,9,..,..,..
Australia,"4,280","1,120","20,603",2.39,"4,565",12.9,799,"3,928","3,061","26,656","62,541"
Austria,"4,565","2,174","5,103",2.84,"18,412",13.7,"1,052","1,889","2,162",244,"9,153"
Azerbaijan,..,..,149,0.21,72,13.4,0,28,156,12,"6,150"
"Bahamas, The",..,..,3,..,0,0,..,19,..,..,..
Bahrain,..,..,40,..,2,0.2,..,..,3,167,"7,999"
Bangladesh,..,..,291,..,39,0.2,0,21,60,243,"11,581"
Barbados,..,..,16,..,21,15.3,3,19,3,39,"1,180"
Belarus,..,..,342,0.7,767,4.4,28,145,"1,489",145,"11,492"
Belgium,"3,983","1,379","7,484",2.24,"36,504",11.4,"3,341","3,335",715,161,"24,064"
Belize,..,..,3,..,0,0,3,2,..,32,"1,029"
Benin,..,..,51,..,1,1.2,0,2,..,..,..
Bermuda,..,..,..,0.26,3,12.4,0,11,..,..,..
Bhutan,..,..,8,..,0,0,0,0,3,4,870
Bolivia,162,25,47,0.16,44,9.4,22,49,..,..,..
Bosnia and Herzegovina,193,70,54,0.02,80,2.3,18,8,7,22,"4,342"
Botswana,..,..,50,0.53,25,0.4,0,10,8,1,"1,897"
Brazil,710,656,"13,148",1.21,"8,392",9.6,597,"3,669","4,959","25,925","163,422"
Brunei Darussalam,..,..,15,..,53,15.2,..,..,..,11,760
Bulgaria,"1,552",445,650,0.64,"1,128",8,28,204,282,15,"6,177"
Burkina Faso,48,37,53,0.2,14,13.7,0,0,2,..,34
Burundi,..,..,3,0.12,0,2.7,0,0,..,..,..
Cambodia,..,..,33,..,16,0.2,2,12,1,74,"5,854"
Cameroon,..,..,159,..,15,3.7,0,8,..,..,..
Canada,"4,563","1,481","29,017",1.73,"29,137",14,"3,755","10,850","4,567","30,174","49,819"
Cabo Verde,51,8,1,0.07,0,0.6,0,0,..,..,..
Cayman Islands,..,..,..,..,..,..,..,..,..,..,..
Central African Republic,..,..,4,..,0,0,..,..,..,..,..
Chad,..,..,2,..,..,..,..,..,..,..,..
Channel Islands,..,..,..,..,..,..,..,..,..,..,..
Chile,317,228,"1,979",0.42,506,4.8,77,932,340,"2,732","33,564"
China,"1,020",..,"89,894",1.98,"560,058",27,887,"21,033","704,936","120,200","1,848,858"
"Hong Kong SAR, China","2,925",306,..,0.75,600,16.2,520,"2,019",226,"13,690","37,092"
"Macao SAR, China",476,727,..,0.04,0,0,..,242,6,54,"10,084"
Colombia,184,..,727,0.17,736,7.4,66,561,251,"1,781","26,314"
Comoros,..,..,0,..,..,..,..,..,..,..,1
"Congo, Dem. Rep.",..,..,21,0.13,..,..,..,..,..,..,..
"Congo, Rep.",..,..,16,..,38,1.6,..,..,..,..,..
Costa Rica,"1,289",..,106,0.48,"3,065",43.3,4,59,21,582,"11,895"
Cote d'Ivoire,73,..,44,..,39,1.3,..,17,26,1,..
Croatia,"1,553",615,"1,289",0.75,633,8.6,24,246,230,23,"6,239"
Cuba,..,..,224,0.42,..,..,..,..,27,143,"2,301"
Curacao,..,..,..,..,..,..,..,..,..,..,"1,137"
